Thumbnails	Name	Execution Cost	VS Invocations	Sampler Calls/VS Invocation	VS Texture Cache Miss Rate	VS Occupancy	VS ALU Instructions	VS ALU Float Instructions	VS ALU Half Instructions	VS ALU Integer and Conditional Instructions	VS ALU Integer and Complex Instructions	VS Invocation Utilization	VS Bytes Read From Device Memory	VS Bytes Written To Device Memory	VS Device Memory Bandwidth	VS Buffer Device Memory Bytes Read	VS Buffer Device Memory Bytes Written	VS Device Atomic Bytes Read	VS Device Atomic Bytes Written	VS Last Level Cache Bytes Read	VS Last Level Cache Bytes Written	VS Texture L1 Bytes Read	VS ALU Performance	
-	11333 Compute Encoder 0 0x79f00fe80	0.570%	0 	0.00 	0.00%	0.00%	0 	0.00%	0.00%	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 GiB/s	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 	
-	11823 Compute Encoder 0 0x7a0834280	0.003%	0 	0.00 	0.00%	0.00%	0 	0.00%	0.00%	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 GiB/s	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 	
-	12189 Compute Encoder 0 0x7a0834320	3.747%	0 	0.00 	0.00%	0.00%	0 	0.00%	0.00%	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 GiB/s	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 	
-	13138 Compute Encoder 0 0x7a08343c0	3.743%	0 	0.00 	0.00%	0.00%	0 	0.00%	0.00%	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 GiB/s	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 	
-	14105 Compute Encoder 0 0x7a0834460	4.650%	0 	0.00 	0.00%	0.00%	0 	0.00%	0.00%	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 GiB/s	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 	
-	15089 Compute Encoder 0 0x7a08345a0	4.232%	0 	0.00 	0.00%	0.01%	0 	0.00%	0.00%	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 GiB/s	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 	
-	16051 Compute Encoder 0 0x7a0834640	4.179%	0 	0.00 	0.00%	0.00%	0 	0.00%	0.00%	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 GiB/s	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 	
-	17039 Compute Encoder 0 0x7a0834780	4.813%	0 	0.00 	0.00%	0.00%	0 	0.00%	0.00%	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 GiB/s	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 	
-	18011 Compute Encoder 0 0x7a0834960	3.598%	0 	0.00 	0.00%	0.00%	0 	0.00%	0.00%	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 GiB/s	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 	
-	18976 Compute Encoder 0 0x7a0834b40	4.851%	0 	0.00 	0.00%	0.00%	0 	0.00%	0.00%	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 GiB/s	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 	
-	19952 Compute Encoder 0 0x7a0834d20	3.857%	0 	0.00 	0.00%	0.00%	0 	0.00%	0.00%	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 GiB/s	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 	
-	20919 Compute Encoder 0 0x7a0834f00	11.487%	0 	0.00 	0.00%	0.00%	0 	0.00%	0.00%	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 GiB/s	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 	
-	21903 Compute Encoder 0 0x7a0834280	0.749%	0 	0.00 	0.00%	0.00%	0 	0.00%	0.00%	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 GiB/s	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 	
