Thumbnails	Name	Execution Cost	Occupancy Manager Target	Occupancy Manager Target	Device Memory Bandwidth	GPU Read Bandwidth	GPU Write Bandwidth	Last Level Cache Bandwidth	Bytes Read From Device Memory	Bytes Written To Device Memory	Last Level Cache Bytes Read	Last Level Cache Bytes Written	Last Level Cache Miss Rate	Buffer L1 Miss Rate	Buffer Device Memory Bytes Read	Buffer Device Memory Bytes Written	Texture L1 Bytes Read	Texture Cache Miss Rate	Texture Device Memory Bytes Read	Texture Device Memory Bytes Written	Device Atomic Bytes Read	Device Atomic Bytes Written	Depth Texture Device Memory Bytes Written	Depth Texture Device Memory Bytes Read	Depth Test Utilization	Depth Load Utilization	MMU TLB Miss Rate	L1 Cache Limiter	L1 Cache Utilization	ThreadGroup L1 Read Accesses	Buffer L1 Read Accesses	ImageBlock L1 Read Accesses	Stack L1 Read Accesses	Register L1 Read Accesses	RT Scratch L1 Read Accesses	Other L1 Read Accesses	ThreadGroup L1 Write Accesses	ThreadGroup L1 Write Accesses	ThreadGroup L1 Write Accesses	ImageBlock L1 Write Accesses	Stack L1 Write Accesses	RT Scratch L1 Write Accesses	Register L1 Write Accesses	ThreadGroup L1 Write Accesses	Buffer L1 Write Accesses	Other L1 Write Accesses	L1 Write Bandwidth	L1 Read Bandwidth	Threadgroup Memory L1 Read Bandwidth	Threadgroup Memory L1 Write Bandwidth	Threadgroup Memory L1 Write Bandwidth	Threadgroup Memory L1 Write Bandwidth	Imageblock L1 Read Bandwidth	Imageblock L1 Write Bandwidth	Unclassified L1 Read Bandwidth	Unclassified L1 Write Bandwidth	Register L1 Read Bandwidth	Register L1 Write Bandwidth	Stack L1 Read Bandwidth	Stack L1 Write Bandwidth	Buffer L1 Read Bandwidth	Buffer L1 Write Bandwidth	RT Scratch L1 Read Bandwidth	RT Scratch L1 Write Bandwidth	Threadgroup Memory L1 Write Bandwidth	L1 Register Residency	L1 Buffer Residency	L1 Stack Residency	L1 Threadgroup Residency	L1 Imageblock Residency	L1 Total Residency	L1 RT Scratch Residency	L1 RT Scratch Residency	L1 RT Scratch Residency	L1 Other Residency	Occupancy Manager Target	L1 Eviction Rate	L1 RT Scratch Residency	
-	11333 Compute Encoder 0 0x79f00fe80	0.570%	100.00%	100.00%	2.5805 GiB/s	0.0028 GiB/s	2.5777 GiB/s	0.0252 GiB/s	128 bytes	114.88 KiB	8.12 KiB	245.88 KiB	100.00%	25.58 	0 bytes	0 bytes	0 bytes	0.00%	0 bytes	0 bytes	8.00 KiB	8.00 KiB	0 bytes	0 bytes	0.00%	0.00%	33.33%	0.03%	0.03%	0.01%	26.12%	17.63%	0.01%	0.00%	0.00%	19.18%	0.01%	0.01%	0.01%	17.94%	0.01%	0.00%	0.00%	0.01%	0.00%	19.10%	3.6899 GiB/s	6.2660 GiB/s	0.0011 GiB/s	0.0011 GiB/s	0.0011 GiB/s	0.0011 GiB/s	1.7547 GiB/s	1.7859 GiB/s	1.9094 GiB/s	1.9019 GiB/s	0 GiB/s	0 GiB/s	0.0006 GiB/s	0.0009 GiB/s	2.6002 GiB/s	0 GiB/s	0 GiB/s	0 GiB/s	0.0011 GiB/s	0.00%	0.16%	0.00%	0.00%	0.02%	0.18%	0.00%	0.00%	0.00%	0.00%	100.00%	0.00%	0.00%	
-	11823 Compute Encoder 0 0x7a0834280	0.003%	100.00%	100.00%	0.2481 GiB/s	0.0292 GiB/s	0.2190 GiB/s	0.2627 GiB/s	128 bytes	960 bytes	128 bytes	1.00 KiB	100.00%	51.49 	0 bytes	0 bytes	0 bytes	0.00%	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0.00%	0.00%	18.75%	0.35%	0.35%	0.00%	51.42%	0.00%	0.00%	0.00%	0.00%	0.01%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	48.55%	0.01%	34.3172 GiB/s	36.3493 GiB/s	0 GiB/s	0 GiB/s	0 GiB/s	0 GiB/s	0 GiB/s	0 GiB/s	0.0094 GiB/s	0.0095 GiB/s	0 GiB/s	0 GiB/s	0 GiB/s	0 GiB/s	36.3399 GiB/s	34.3077 GiB/s	0 GiB/s	0 GiB/s	0 GiB/s	0.00%	10.96%	0.00%	0.00%	0.00%	10.97%	0.00%	0.00%	0.00%	0.01%	100.00%	0.00%	0.00%	
-	12189 Compute Encoder 0 0x7a0834320	3.747%	100.00%	100.00%	6.5735 GiB/s	0.0041 GiB/s	6.5694 GiB/s	0.0149 GiB/s	1.25 KiB	1.93 MiB	1.25 KiB	32.25 KiB	100.00%	80.11 	0 bytes	0 bytes	0 bytes	0.00%	0 bytes	2.31 KiB	0 bytes	0 bytes	0 bytes	0 bytes	0.00%	0.00%	0.00%	0.90%	0.90%	0.50%	80.58%	2.08%	0.03%	2.11%	0.00%	4.62%	0.51%	0.51%	0.51%	2.00%	0.51%	0.00%	2.39%	0.51%	0.11%	4.56%	19.0245 GiB/s	169.6750 GiB/s	0.9360 GiB/s	0.9653 GiB/s	0.9653 GiB/s	0.9653 GiB/s	3.9158 GiB/s	3.7795 GiB/s	8.7173 GiB/s	8.6054 GiB/s	3.9830 GiB/s	4.5092 GiB/s	0.0605 GiB/s	0.9642 GiB/s	152.0624 GiB/s	0.2009 GiB/s	0 GiB/s	0 GiB/s	0.9653 GiB/s	0.39%	20.92%	0.00%	0.01%	0.12%	21.52%	0.00%	0.00%	0.00%	0.08%	100.00%	0.00%	0.00%	
-	13138 Compute Encoder 0 0x7a08343c0	3.743%	100.00%	100.00%	1.1022 GiB/s	0.1079 GiB/s	0.9943 GiB/s	0.0141 GiB/s	34.50 KiB	317.81 KiB	760.06 KiB	365.69 KiB	100.00%	72.97 	0 bytes	0 bytes	0 bytes	0.00%	0 bytes	0 bytes	4.00 KiB	4.00 KiB	0 bytes	0 bytes	0.00%	0.00%	0.00%	1.02%	1.02%	0.65%	79.59%	2.04%	0.03%	2.90%	0.00%	4.41%	0.67%	0.67%	0.67%	2.09%	0.03%	0.00%	3.22%	0.67%	0.11%	4.25%	20.6685 GiB/s	178.5387 GiB/s	1.3001 GiB/s	1.3407 GiB/s	1.3407 GiB/s	1.3407 GiB/s	4.0691 GiB/s	4.1719 GiB/s	8.7879 GiB/s	8.4726 GiB/s	5.7767 GiB/s	6.4105 GiB/s	0.0626 GiB/s	0.0626 GiB/s	158.5424 GiB/s	0.2102 GiB/s	0 GiB/s	0 GiB/s	1.3407 GiB/s	0.38%	20.95%	0.00%	0.01%	0.25%	21.69%	0.00%	0.00%	0.00%	0.09%	100.00%	0.00%	0.00%	
-	14105 Compute Encoder 0 0x7a0834460	4.650%	96.34%	96.34%	1.6583 GiB/s	0.1437 GiB/s	1.5145 GiB/s	0.0119 GiB/s	54.31 KiB	572.31 KiB	18.81 KiB	30.81 KiB	100.00%	80.36 	5.94 KiB	0 bytes	0 bytes	0.00%	64 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0.00%	0.00%	0.00%	1.12%	1.12%	0.42%	93.65%	0.00%	0.03%	2.37%	0.00%	0.13%	0.44%	0.44%	0.44%	0.00%	0.03%	0.00%	2.66%	0.44%	0.12%	0.15%	7.5863 GiB/s	215.7773 GiB/s	0.9477 GiB/s	0.9774 GiB/s	0.9774 GiB/s	0.9774 GiB/s	0 GiB/s	0 GiB/s	0.2860 GiB/s	0.3395 GiB/s	5.2976 GiB/s	5.9383 GiB/s	0.0674 GiB/s	0.0675 GiB/s	209.1786 GiB/s	0.2637 GiB/s	0 GiB/s	0 GiB/s	0.9774 GiB/s	0.45%	29.44%	0.00%	0.01%	0.00%	29.98%	0.00%	0.00%	0.00%	0.08%	96.34%	0.00%	0.00%	
-	15089 Compute Encoder 0 0x7a08345a0	4.232%	100.00%	100.00%	0.0224 GiB/s	0.0015 GiB/s	0.0209 GiB/s	0.0206 GiB/s	512 bytes	7.06 KiB	37.06 KiB	70.19 KiB	71.17%	78.59 	15.06 KiB	0 bytes	0 bytes	0.00%	64 bytes	0 bytes	4.00 KiB	4.00 KiB	0 bytes	0 bytes	0.00%	0.00%	0.00%	0.95%	0.95%	0.49%	63.29%	5.81%	0.03%	1.37%	0.00%	8.92%	0.51%	0.51%	0.51%	9.43%	0.03%	0.00%	1.54%	0.51%	0.08%	8.49%	40.1128 GiB/s	159.6300 GiB/s	0.9793 GiB/s	1.0099 GiB/s	1.0099 GiB/s	1.0099 GiB/s	11.6112 GiB/s	18.8317 GiB/s	17.8103 GiB/s	16.9543 GiB/s	2.7355 GiB/s	3.0813 GiB/s	0.0667 GiB/s	0.0672 GiB/s	126.4270 GiB/s	0.1683 GiB/s	0 GiB/s	0 GiB/s	1.0099 GiB/s	0.25%	17.30%	0.00%	0.01%	0.35%	17.98%	0.00%	0.00%	0.00%	0.08%	100.00%	0.00%	0.00%	
-	16051 Compute Encoder 0 0x7a0834640	4.179%	98.09%	98.09%	0.5178 GiB/s	0.0014 GiB/s	0.5164 GiB/s	227.9114 GiB/s	512 bytes	182.75 KiB	83.94 KiB	179.88 KiB	96.16%	79.88 	0 bytes	64.19 KiB	0 bytes	0.00%	1.06 MiB	2.50 KiB	0 bytes	0 bytes	0 bytes	0 bytes	0.00%	0.00%	0.00%	0.82%	0.82%	0.40%	86.18%	2.21%	0.03%	1.53%	0.00%	2.67%	0.41%	0.41%	0.41%	2.20%	0.03%	0.00%	1.72%	0.41%	0.11%	2.51%	11.4607 GiB/s	152.7834 GiB/s	0.6570 GiB/s	0.6776 GiB/s	0.6776 GiB/s	0.6776 GiB/s	3.6310 GiB/s	3.6102 GiB/s	4.3786 GiB/s	4.1153 GiB/s	2.5160 GiB/s	2.8330 GiB/s	0.0474 GiB/s	0.0474 GiB/s	141.5534 GiB/s	0.1771 GiB/s	0 GiB/s	0 GiB/s	0.6776 GiB/s	0.18%	18.83%	0.00%	0.00%	0.10%	19.16%	0.00%	0.00%	0.00%	0.06%	98.09%	0.00%	0.00%	
-	17039 Compute Encoder 0 0x7a0834780	4.813%	94.77%	94.77%	0.2040 GiB/s	0.0013 GiB/s	0.2027 GiB/s	228.2253 GiB/s	512 bytes	79.00 KiB	86.68 MiB	166.81 KiB	96.29%	80.18 	0 bytes	79.75 KiB	0 bytes	0.00%	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0.00%	0.00%	91.06%	0.91%	0.91%	1.87%	82.29%	1.58%	0.03%	2.10%	0.00%	3.32%	0.75%	0.75%	0.75%	2.01%	0.29%	0.00%	2.37%	0.75%	0.10%	3.28%	16.6731 GiB/s	172.6587 GiB/s	3.5467 GiB/s	1.4134 GiB/s	1.4134 GiB/s	1.4134 GiB/s	2.9978 GiB/s	3.8096 GiB/s	6.2776 GiB/s	6.2094 GiB/s	3.9799 GiB/s	4.4870 GiB/s	0.0532 GiB/s	0.5570 GiB/s	155.8035 GiB/s	0.1967 GiB/s	0 GiB/s	0 GiB/s	1.4134 GiB/s	0.36%	21.84%	0.00%	0.02%	0.09%	22.39%	0.00%	0.00%	0.00%	0.08%	94.77%	0.00%	0.00%	
-	18011 Compute Encoder 0 0x7a0834960	3.598%	100.00%	100.00%	0.9196 GiB/s	0.0016 GiB/s	0.9180 GiB/s	204.5932 GiB/s	512 bytes	282.88 KiB	61.41 MiB	153.31 KiB	95.97%	79.36 	0 bytes	54.25 KiB	0 bytes	0.00%	0 bytes	384 bytes	4.00 KiB	4.00 KiB	0 bytes	0 bytes	0.00%	0.00%	99.94%	0.87%	0.87%	0.54%	90.51%	0.58%	0.04%	2.29%	0.00%	1.03%	0.55%	0.55%	0.55%	0.73%	0.04%	0.00%	2.59%	0.55%	0.12%	0.99%	8.6902 GiB/s	164.3339 GiB/s	0.9272 GiB/s	0.9561 GiB/s	0.9561 GiB/s	0.9561 GiB/s	0.9976 GiB/s	1.2563 GiB/s	1.7820 GiB/s	1.7126 GiB/s	3.9541 GiB/s	4.4856 GiB/s	0.0725 GiB/s	0.0727 GiB/s	156.6005 GiB/s	0.2068 GiB/s	0 GiB/s	0 GiB/s	0.9561 GiB/s	0.37%	22.45%	0.00%	0.01%	0.04%	22.93%	0.00%	0.00%	0.00%	0.07%	100.00%	0.00%	0.00%	
-	18976 Compute Encoder 0 0x7a0834b40	4.851%	100.00%	100.00%	225.8819 GiB/s	225.0675 GiB/s	0.8143 GiB/s	234.0892 GiB/s	83.54 MiB	309.50 KiB	86.69 MiB	379.88 KiB	96.27%	77.59 	0 bytes	92.88 KiB	0 bytes	0.00%	0 bytes	0 bytes	4.00 KiB	4.00 KiB	0 bytes	0 bytes	0.00%	0.00%	100.00%	0.95%	0.95%	0.51%	80.85%	1.75%	0.03%	4.60%	0.00%	2.42%	0.53%	0.53%	0.53%	1.91%	0.03%	0.00%	5.07%	0.53%	0.10%	2.19%	18.9115 GiB/s	173.3929 GiB/s	0.9827 GiB/s	1.0135 GiB/s	1.0135 GiB/s	1.0135 GiB/s	3.3735 GiB/s	3.6824 GiB/s	4.6564 GiB/s	4.2204 GiB/s	8.8487 GiB/s	9.7454 GiB/s	0.0505 GiB/s	0.0506 GiB/s	155.4812 GiB/s	0.1993 GiB/s	0 GiB/s	0 GiB/s	1.0135 GiB/s	0.42%	21.74%	0.00%	0.01%	0.13%	22.38%	0.00%	0.00%	0.00%	0.10%	100.00%	0.04%	0.00%	
-	19952 Compute Encoder 0 0x7a0834d20	3.857%	100.00%	100.00%	205.6996 GiB/s	202.3787 GiB/s	3.3209 GiB/s	211.1140 GiB/s	59.15 MiB	993.88 KiB	61.68 MiB	222.38 KiB	95.79%	78.17 	0 bytes	51.44 KiB	0 bytes	0.00%	0 bytes	725.12 KiB	4.00 KiB	4.00 KiB	0 bytes	0 bytes	0.00%	0.00%	99.99%	0.87%	0.87%	0.71%	89.02%	0.84%	0.03%	2.55%	0.00%	1.12%	0.74%	0.74%	0.74%	0.86%	0.03%	0.00%	2.89%	0.74%	0.12%	1.07%	9.7707 GiB/s	161.2227 GiB/s	1.2212 GiB/s	1.2594 GiB/s	1.2594 GiB/s	1.2594 GiB/s	1.4376 GiB/s	1.4704 GiB/s	1.9199 GiB/s	1.8340 GiB/s	4.3679 GiB/s	4.9484 GiB/s	0.0588 GiB/s	0.0588 GiB/s	152.2172 GiB/s	0.1997 GiB/s	0 GiB/s	0 GiB/s	1.2594 GiB/s	0.37%	21.61%	0.00%	0.01%	0.06%	22.13%	0.00%	0.00%	0.00%	0.07%	100.00%	0.01%	0.00%	
